nome,descricao,requisitos,imagem,escolaridade,idade,unidades
Informática para Melhor Idade,"Curso adaptado às necessidades e ritmo de aprendizado de pessoas da terceira idade, visando inclusão digital e social, com o uso de ferramentas para comunicação online, redes sociais e operações básicas (redes sociais, internet e outros).",Ser alfabetizado.,cursos/info_melhor_idade.jpg,ALF,12,2
Informática Básica,"Focado em introduzir os alunos ao uso do computador e da internet. Ideal para quem busca aprender a operar e aprofundar-se um pouco mais em sistemas operacionais, programas de produtividade (Word, Excel, PowerPoint) e navegar na web com segurança. ",requisitos,cursos/info_basica.jpg,EF1_COM,12,"1,2"
Excel,"Foco na utilização da ferramenta para gestão de dados, criação de planilhas dinâmicas, gráficos e fórmulas, preparando o aluno para o mercado corporativo.",requisitos,cursos/excel.jpg,EF1_COM,14,1
Power BI,"Oferece visualizações interativas e ferramentas de business intelligence (BI) por meio de uma interface intuitiva, permitindo que os usuários criem relatórios e dashboards personalizados, que podem ser aplicados em diversas áreas, como Finanças, Engenharia, Tecnologia da Informação, Marketing e Saúde.",requisitos,cursos/power_bi.jpeg,EF1_COM,16,1
Montagem e Manutenção de Computadores e Notebooks,"Curso prático e teórico que ensina a montagem, diagnóstico de problemas e manutenção de computadores e notebooks, com ênfase na resolução de problemas comuns e práticas sustentáveis.",requisitos,cursos/montagem.jpg,EF1_COM,14,2
Manutenção de Celulares,"Abrange a desmontagem, análise de problemas e reparos básicos de um celular. ",requisitos,cursos/man_cel.jpg,EF1_COM,14,1
Robótica e Automação: Básico,"Capacita o aluno com conhecimentos para desenvolver, implementar e manter sistemas de Robótica e Automação. O curso abrange desde conceitos básicos até práticas mais avançadas, utilizando o Arduino como ferramenta, além de sensores e atuadores.",requisitos,cursos/robotica.jpg,EF1_COM,14,"1,2"
Robótica e Automação: Intermediário,"Expande os conceitos e práticas relacionados ao hardware do Arduino e à sua programação, utilizando a IDE padrão. Fornece conhecimentos para a utilização de novos sensores e atuadores, o domínio de estruturas avançadas de controle e a exibição de dados em displays, além de possibilitar a criação de projetos integradores aplicados a cenários reais do mercado. ",requisitos,cursos/robotica.jpg,EF1_COM,14,"1,2"
Robótica e Automação: Avançado,"Capacita o aluno a desenvolver soluções avançadas em Robótica e Automação, explorando tecnologias como protocolos de comunicação avançados (SPI e I2C), controle PID e robótica móvel. O módulo também integra teoria e prática, com foco em desafios reais e no uso de ferramentas modernas, como dispositivos Wi-Fi.",requisitos,cursos/robotica.jpg,EF1_COM,14,1
Noções de Design e Modelagem 3D,Capacita os alunos com conhecimentos em fundamentos do design gráfico e introduz a modelagem 3D.,requisitos,cursos/design.jpg,EF1_COM,14,1
Design e Modelagem 3D: Dominando os Softwares,"Aprofunda o conhecimento em  modelagem 3D, permitindo aos participantes alcançarem resultados de alta qualidade em suas criações visuais.",requisitos,cursos/design.jpg,EF1_COM,14,1
Educação Financeira,"Abrange o planejamento financeiro, monitoramento de gastos e receitas, orçamento empresarial, gestão de fluxo de caixa e a importância do capital de giro. Inclui também a declaração anual de imposto de renda, com foco especial no MEI.",requisitos,cursos/educacao.jpg,EF2_COM,16,1
Gestão de Pessoas,"Cobre tópicos fundamentais como os cinco pilares (liderança, comunicação, treinamento e capacitação, motivação e trabalho em equipe) da gestão depessoas e processos de recrutamento e seleção. Inclui treinamento e desenvolvimento de pessoal, abordando a liderança e comunicação eficaz, além de estratégias de motivação e formação de equipes.",requisitos,cursos/gestao.jpg,EF2_COM,16,1
"Marketing: Fundamentos, Consumidores e Planejamento Estratégico","O participante aprende sobre os fundamentos do marketing, se capacitado para compreender o perfil dos consumidores, analisar tendências de mercado e elaborar planos estratégicos que gerem impacto positivo para marcas e negócios. ",requisitos,cursos/marketing_digital.jpg,EF2_COM,16,1
Marketing Digital e Empreendedor,"Voltado para quem deseja utilizar as plataformas digitais para divulgar negócios e desenvolver um planejamento estratégico de marketing e vendas, com treinamento em ferramentas que visão otimizar a presença digital de empresas.",requisitos,cursos/marketing_emp_dig.png,EF2_COM,16,1
Blockchain,"O curso tem como objetivo orientar   a pesquisa e o egresso nas novas oportunidades criadas pela Web3 Blockchain, que é a tecnologia usada para o futuro da computação em nuvem.",requisitos,cursos/blockchain1.png,EF1_COM,14,1
